Bug ID,Component,Severity,Priority,OS,Assignee
91774,Bookmarks & History,normal,P3,All,mats
167167,Bookmarks & History,normal, --,Windows 2000,p_ch
168411,Bookmarks & History,normal,P2,All,jminta
168412,Bookmarks & History,normal, --,All,p_ch
171349,General,normal,P2,All,nobody
171561,Build Config,trivial, --,All,bugs
172328,Menus,normal, --,Windows 2000,p_ch
172616,Toolbars and Customization,trivial, --,Windows XP,hyatt
174854,Menus,minor, --,All,bugzilla
175662,General,minor, --,Linux,bugzilla
180759,General,minor, --,All,bugzilla
180962,General,critical, --,All,mconnor
193544,Location Bar,critical,P3,All,masayuki
204359,Location Bar,critical, --,Linux,bryner
214847,Toolbars and Customization,normal, --,Mac OS X,bugs
215707,Preferences,normal, --,All,mconnor
215956,General,normal, --,Windows 2000,bugzilla
220338,General,trivial, --,Windows XP,bugzilla
224002,Toolbars and Customization,normal,P2,Mac OS X,asaf
230271,Location Bar,major, --,All,bugs
230787,Keyboard Navigation,normal, --,Windows XP,aaronlev
233712,General,normal,P1,Mac OS X,asaf
235492,Bookmarks & History,normal, --,Windows XP,p_ch
245392,Installer,normal,P3,Windows XP,benjamin
245584,Installer,blocker, --,Windows 2000,benjamin
249735,Keyboard Navigation,normal,P1,All,dao+bmo
251105,General,normal, --,Windows XP,nobody
253478,Bookmarks & History,major,P1,All,vladimir+bm
255123,Shell Integration,normal, --,Windows 2000,bugs
262388,Bookmarks & History,minor, --,Mac OS X,nobody
264610,Location Bar,major, --,All,philringnalda
265325,Build Config,normal,P1,Mac OS X,benjamin
268553,Bookmarks & History,normal,P3,Windows XP,vladimir
269033,Tabbed Browser,trivial, --,Windows XP,nobody
276977,General,critical, --,All,bugzilla
283966,General,blocker, --,Mac OS X,chase
287459,Bookmarks & History,minor, --,Windows XP,amotohiko_mozillafirebird
296400,Installer,normal, --,Windows XP,nobody
296575,Bookmarks & History,normal, --,Windows XP,nobody
302000,Search,minor, --,Windows XP,torisugari
303842,General,critical, --,Windows XP,nobody
303898,Menus,minor, --,All,nobody
305913,Preferences,normal, --,All,nobody
307840,Preferences,critical, --,Linux,g.maone
311171,Menus,normal, --,All,nobody
314386,Location Bar,minor, --,All,zeniko
315167,Tabbed Browser,minor, --,Windows XP,moco
319929,Keyboard Navigation,normal, --,Linux,enndeakin
320355,General,major, --,Windows XP,nobody
321459,Installer,major, --,Windows XP,gavin.sharp
325075,Build Config,normal, --,Windows XP,nobody
327115,Bookmarks & History,normal,P2,Windows XP,brettw
330025,Bookmarks & History,normal,P5,All,nobody
333945,General,major, --,Windows XP,nobody
334462,Disability Access,normal, --,Linux,twanno
336286,Bookmarks & History,normal,P3,All,mak77
342166,Bookmarks & History,minor,P4,Linux,nobody
351105,Shell Integration,normal, --,Mac OS X,nobody
351157,Toolbars and Customization,normal, --,Windows XP,nobody
353207,Extension Compatibility,normal, --,Windows XP,redux
356138,Extension Compatibility,normal, --,Windows XP,basic
358179,General,major, --,Windows Server 2003,nobody
359809,Location Bar,normal, --,All,grddev
359924,Disability Access,critical, --,Linux,aaronlev
364677,RSS Discovery and Preview,normal, --,All,philringnalda
366572,Session Restore,normal, --,All,zeniko
380205,Bookmarks & History,normal, --,Windows XP,nobody
385316,Bookmarks & History,major, --,Windows XP,nobody
393398,Bookmarks & History,major,P3,All,aaronlev
400654,Location Bar,normal, --,All,nobody
404747,Location Bar,major, --,Windows XP,nobody
411289,Theme,normal,P3,All,dao+bmo
411774,Extension Compatibility,normal, --,All,longfocus
412692,Bookmarks & History,normal, --,All,nobody
414732,Theme,trivial, --,Mac OS X,mstange
414776,Bookmarks & History,blocker,P1,All,nobody
415291,Theme,normal, --,Mac OS X,nobody
418079,Bookmarks & History,normal,P2,All,asaf
419698,General,normal, --,All,nobody
419740,Bookmarks & History,major,P2,Windows XP,nobody
420024,General,normal, --,Mac OS X,nobody
420894,Bookmarks & History,normal, --,Windows XP,graeme.mccutcheon
421530,Bookmarks & History,normal, --,All,nobody
423634,Theme,normal, --,Windows Vista,nobody
424689,Session Restore,normal, --,All,nobody
428833,Bookmarks & History,major, --,All,mak77
429498,Location Bar,normal,P2,All,edilee
430167,Bookmarks & History,normal, --,Mac OS X,nobody
430514,Bookmarks & History,normal,P3,All,dietrich
432524,Theme,normal, --,Mac OS X,nobody
444066,Toolbars and Customization,normal, --,All,nobody
446171,Bookmarks & History,normal,P3,All,scwwu
448922,Theme,normal, --,Mac OS X,nobody
451022,Bookmarks & History,normal, --,All,nobody
451364,Bookmarks & History,minor, --,All,nobody
461526,Tabbed Browser,normal, --,All,asaf
462222,General,normal, --,All,dao+bmo
466038,General,normal, --,Windows XP,sdwilsh
467659,Extension Compatibility,normal, --,All,nobody
468383,Bookmarks & History,major, --,All,nobody
469422,Bookmarks & History,normal,P1,All,dietrich
486857,Build Config,major, --,AIX,shailen.n.jain
491523,Bookmarks & History,normal, --,All,mak77
494373,General,normal,P2,All,dao+bmo
504847,Tabbed Browser,normal, --,Mac OS X,fryn
508738,Tabbed Browser,minor, --,All,kmaglione+bmo
509966,Session Restore,normal, --,All,dao+bmo
510864,Private Browsing,normal, --,All,ehsan
513979,Preferences,normal,P2,Mac OS X,smichaud
518970,Session Restore,normal, --,All,ehsan
521141,Installer,major,P2,Windows 7,jmathies
521889,Session Restore,normal, --,All,mak77
532708,General,normal, --,Mac OS X,nobody
533470,Menus,major, --,Linux,nobody
541864,Theme,trivial, --,Linux,dao+bmo
552047,Tabbed Browser,normal, --,All,nobody
557468,Tabbed Browser,normal, --,Windows XP,nobody
571783,Theme,normal, --,Windows 7,dao+bmo
573580,Tabbed Browser,minor, --,All,nobody
