Bug ID,Component,Severity,Priority,OS,Assignee
218179,Build Config,critical, --,HP-UX,bryner
220774,Shell Integration,normal, --,FreeBSD,bugzilla
230049,Build Config,normal, --,Windows 2000,bugzilla
231537,General,major, --,Windows 2000,bugzilla
232078,General,normal, --,Linux,bugzilla
234409,General,normal, --,Linux,bugzilla
234415,General,normal, --,Linux,bugzilla
236719,General,normal, --,Linux,bugzilla
238356,Bookmarks & History,normal, --,Mac OS X,p_ch
238891,General,normal, --,Linux,bugzilla
238938,Migration,normal, --,Windows 2000,bugs
238939,Migration,normal, --,Windows 2000,bugs
238976,General,normal, --,Linux,bugzilla
239329,General,normal, --,Linux,bugzilla
239436,General,major, --,Windows 2000,bugzilla
239639,General,normal, --,Linux,bugzilla
239814,General,major, --,All,bugzilla
239975,General,normal, --,Mac OS X,bugzilla
240575,General,normal, --,Linux,axelssonaf
242020,General,major, --,Mac OS X,bugzilla
242447,General,normal, --,Windows 2000,bugzilla
242570,General,normal, --,Linux,bugzilla
242770,General,normal, --,Linux,bugzilla
243087,General,normal, --,Linux,bugzilla
243328,General,normal, --,Linux,bugzilla
243626,General,minor, --,Windows 2000,bugzilla
243645,General,normal, --,Linux,bugzilla
243715,General,normal, --,Windows XP,bugzilla
243945,General,normal, --,Solaris,bugzilla
244747,General,minor, --,Windows 2000,bugzilla
244883,General,normal, --,Windows 2000,bugzilla
245032,Tabbed Browser,normal, --,Mac OS X,bugs
245342,General,normal, --,Windows 2000,general
245669,General,normal, --,Linux,bugzilla
246117,General,major, --,Linux,bugzilla
246218,General,normal, --,Mac OS X,bugzilla
246464,General,critical, --,Linux,bugzilla
246652,Preferences,normal, --,Windows 2000,bugzilla
246788,Location Bar,normal, --,Windows 2000,bugs
246805,General,major, --,Mac OS X,bugzilla
246880,General,major, --,Mac OS X,bugzilla
247281,General,normal, --,Windows 2000,bugzilla
247358,General,critical, --,Linux,bugzilla
247459,General,normal, --,Windows 2000,bugzilla
247786,General,normal, --,Linux,bugzilla
247913,General,normal, --,Windows Server 2003,bugzilla
247918,Preferences,normal, --,Linux,bugzilla
247922,General,major, --,Linux,bugzilla
248243,General,normal, --,Linux,bugzilla
248310,General,normal, --,Linux,bugzilla
248369,General,normal, --,Windows 98,bugzilla
248411,General,normal, --,Windows 2000,bugzilla
248415,General,normal, --,Windows 2000,bugzilla
248459,General,normal, --,Linux,bugzilla
248764,General,normal, --,Windows 98,bugzilla
248781,General,normal, --,Windows 2000,bugzilla
248799,General,normal, --,Linux,bugzilla
248879,General,normal, --,FreeBSD,bugzilla
248916,Bookmarks & History,normal, --,Linux,bugzilla
248986,General,normal, --,Linux,bugzilla
249176,Migration,major, --,Windows 2000,bugs
249301,General,normal, --,Windows 98,bugzilla
249336,General,major, --,Linux,bugzilla
249436,Bookmarks & History,normal, --,Mac OS X,p_ch
249461,Build Config,critical, --,Linux,chase
249645,General,trivial, --,Windows 2000,bugzilla
249736,General,normal, --,Windows 2000,bugzilla
249753,Bookmarks & History,normal, --,Windows 2000,p_ch
249886,Shell Integration,trivial, --,Linux,bugs
249937,Shell Integration,minor, --,Windows 2000,bugs
250008,General,normal, --,Windows 2000,bugzilla
250034,General,critical, --,Linux,bugzilla
250049,General,normal, --,Windows XP,bugzilla
250087,General,normal, --,Windows XP,bugzilla
250112,General,major, --,Windows 98,bugzilla
250125,General,major, --,Windows 2000,bugzilla
250135,General,normal, --,Windows 2000,bugzilla
250158,General,normal, --,Mac OS X,bugzilla
250161,General,minor, --,Linux,bugzilla
250199,General,normal, --,Windows XP,bugzilla
250201,Bookmarks & History,normal, --,Windows 2000,bugzilla
250220,Build Config,normal, --,Windows Server 2003,bryner
250223,General,minor, --,Windows XP,bugzilla
250277,General,normal, --,Windows 2000,bugzilla
250293,General,normal, --,Windows XP,bugzilla
250358,General,normal, --,Windows XP,bugzilla
250399,General,major, --,Windows XP,bugzilla
250497,General,normal, --,Windows XP,bugzilla
250556,General,normal, --,Windows Server 2003,bugzilla
250561,General,normal, --,Windows XP,bugzilla
250566,General,major, --,Windows XP,bugzilla
250615,Bookmarks & History,normal, --,Windows XP,p_ch
250746,General,normal, --,Windows 2000,bugzilla
250749,General,normal, --,Windows XP,bugzilla
250800,General,normal, --,Windows 2000,bugzilla
250833,Location Bar,normal, --,Windows XP,bugs
250846,General,major, --,Linux,bugzilla
250872,General,normal, --,Windows XP,bugzilla
250875,General,normal, --,Windows XP,bugzilla
250909,General,normal, --,Windows XP,bugzilla
250935,General,minor, --,Windows XP,bugzilla
250945,General,critical, --,Windows XP,bugzilla
250957,General,normal, --,Windows XP,bugzilla
250962,General,normal, --,Linux,bugzilla
250993,General,major, --,Windows 2000,bugzilla
251045,Build Config,major, --,Other,bryner
251223,General,critical, --,Linux,bugzilla
251272,Shell Integration,normal, --,Linux,bugs
251280,Bookmarks & History,normal, --,Windows 2000,p_ch
251299,General,normal, --,Windows XP,bugzilla
251344,General,normal, --,Windows 98,bugzilla
251359,Tabbed Browser,normal, --,Windows XP,bugs
251387,General,normal, --,Windows 2000,bugzilla
251388,General,normal, --,Windows 2000,bugzilla
251391,General,normal, --,Windows XP,bugzilla
251398,General,normal, --,Windows XP,bugzilla
251419,Location Bar,normal, --,Windows XP,location-bar
251420,General,minor, --,Mac OS X,bugzilla
251425,General,normal, --,Windows 2000,bugzilla
251490,General,normal, --,Windows XP,bugzilla
251535,Build Config,critical, --,Linux,bryner
251557,General,normal, --,Windows XP,general
251592,General,major, --,Windows 98,bugzilla
251636,General,normal, --,Linux,bugzilla
251691,General,minor, --,Windows 2000,bugzilla
251719,General,normal, --,Windows XP,bugzilla
251733,General,major, --,Windows XP,bugzilla
251792,File Handling,normal, --,Windows 2000,bugs
251826,General,major, --,Windows XP,bugzilla
251836,General,critical, --,Linux,bugzilla
251995,General,major, --,Windows XP,bugzilla
251997,General,critical, --,Windows XP,bugzilla
252021,General,trivial, --,Windows XP,bugzilla
252068,Preferences,normal, --,Windows XP,bugzilla
252086,General,normal, --,Windows 2000,bugzilla
252088,General,major, --,Windows XP,bugzilla
252100,General,normal, --,Windows XP,bugzilla
252248,General,normal, --,Windows XP,bugzilla
252283,General,normal, --,Windows 2000,bugzilla
252377,Shell Integration,normal, --,Windows XP,bugs
252427,General,critical, --,Windows XP,bugzilla
252451,General,normal, --,Windows XP,bugzilla
252466,General,critical, --,Linux,bugzilla
252497,General,normal, --,Windows XP,bugzilla
252512,General,normal, --,Linux,bugzilla
252545,General,normal, --,Windows 98,bugzilla
252675,Bookmarks & History,normal, --,Windows XP,vladimir+bm
252754,General,normal, --,Windows 2000,bugzilla
252767,General,normal, --,Linux,bugzilla
252781,Shell Integration,normal, --,Windows 2000,bugs
252942,Build Config,blocker, --,Linux,bryner
252976,General,normal, --,Windows XP,bugzilla
252990,General,normal, --,Linux,bugzilla
253018,General,normal, --,Windows XP,bugzilla
253028,Preferences,normal, --,Windows XP,bugzilla
253049,General,critical, --,FreeBSD,bugzilla
253155,General,major, --,Linux,bugzilla
253162,Tabbed Browser,trivial, --,Windows 2000,bugs
253201,General,normal, --,Windows 2000,bugzilla
253205,General,normal, --,Windows 95,bugzilla
253252,General,normal, --,Windows 2000,bugzilla
253274,General,normal, --,Linux,bugzilla
253381,General,normal, --,Windows 2000,bugzilla
253410,General,critical, --,Linux,bugzilla
253441,General,normal, --,Mac OS X,bugzilla
253500,General,major, --,Windows XP,bugzilla
253531,General,normal, --,Windows XP,bugzilla
253557,Bookmarks & History,normal, --,Windows XP,vladimir+bm
253577,General,normal, --,Windows XP,bugzilla
253600,General,normal, --,Windows XP,bugzilla
253612,Preferences,normal, --,Windows XP,bugzilla
