Bug ID,Component,Severity,Priority,OS,Assignee
91774,Bookmarks & History,normal,P3,All,mats
167167,Bookmarks & History,normal, --,Windows 2000,p_ch
168411,Bookmarks & History,normal,P2,All,jminta
168412,Bookmarks & History,normal, --,All,p_ch
171561,Build Config,trivial, --,All,bugs
172328,Menus,normal, --,Windows 2000,p_ch
172616,Toolbars and Customization,trivial, --,Windows XP,hyatt
174854,Menus,minor, --,All,bugzilla
175662,General,minor, --,Linux,bugzilla
180759,General,minor, --,All,bugzilla
180962,General,critical, --,All,mconnor
193544,Location Bar,critical,P3,All,masayuki
204359,Location Bar,critical, --,Linux,bryner
214847,Toolbars and Customization,normal, --,Mac OS X,bugs
215707,Preferences,normal, --,All,mconnor
215956,General,normal, --,Windows 2000,bugzilla
220338,General,trivial, --,Windows XP,bugzilla
224002,Toolbars and Customization,normal,P2,Mac OS X,asaf
230271,Location Bar,major, --,All,bugs
230787,Keyboard Navigation,normal, --,Windows XP,aaronlev
233712,General,normal,P1,Mac OS X,asaf
235492,Bookmarks & History,normal, --,Windows XP,p_ch
245392,Installer,normal,P3,Windows XP,benjamin
245584,Installer,blocker, --,Windows 2000,benjamin
249735,Keyboard Navigation,normal,P1,All,dao+bmo
253478,Bookmarks & History,major,P1,All,vladimir+bm
255123,Shell Integration,normal, --,Windows 2000,bugs
264610,Location Bar,major, --,All,philringnalda
265325,Build Config,normal,P1,Mac OS X,benjamin
268553,Bookmarks & History,normal,P3,Windows XP,vladimir
276977,General,critical, --,All,bugzilla
283966,General,blocker, --,Mac OS X,chase
287459,Bookmarks & History,minor, --,Windows XP,amotohiko_mozillafirebird
302000,Search,minor, --,Windows XP,torisugari
307840,Preferences,critical, --,Linux,g.maone
314386,Location Bar,minor, --,All,zeniko
315167,Tabbed Browser,minor, --,Windows XP,moco
319929,Keyboard Navigation,normal, --,Linux,enndeakin
321459,Installer,major, --,Windows XP,gavin.sharp
327115,Bookmarks & History,normal,P2,Windows XP,brettw
334462,Disability Access,normal, --,Linux,twanno
336286,Bookmarks & History,normal,P3,All,mak77
353207,Extension Compatibility,normal, --,Windows XP,redux
356138,Extension Compatibility,normal, --,Windows XP,basic
359809,Location Bar,normal, --,All,grddev
359924,Disability Access,critical, --,Linux,aaronlev
364677,RSS Discovery and Preview,normal, --,All,philringnalda
366572,Session Restore,normal, --,All,zeniko
393398,Bookmarks & History,major,P3,All,aaronlev
411289,Theme,normal,P3,All,dao+bmo
411774,Extension Compatibility,normal, --,All,longfocus
414732,Theme,trivial, --,Mac OS X,mstange
418079,Bookmarks & History,normal,P2,All,asaf
420894,Bookmarks & History,normal, --,Windows XP,graeme.mccutcheon
428833,Bookmarks & History,major, --,All,mak77
429498,Location Bar,normal,P2,All,edilee
430514,Bookmarks & History,normal,P3,All,dietrich
446171,Bookmarks & History,normal,P3,All,scwwu
461526,Tabbed Browser,normal, --,All,asaf
462222,General,normal, --,All,dao+bmo
466038,General,normal, --,Windows XP,sdwilsh
469422,Bookmarks & History,normal,P1,All,dietrich
486857,Build Config,major, --,AIX,shailen.n.jain
491523,Bookmarks & History,normal, --,All,mak77
494373,General,normal,P2,All,dao+bmo
504847,Tabbed Browser,normal, --,Mac OS X,fryn
508738,Tabbed Browser,minor, --,All,kmaglione+bmo
509966,Session Restore,normal, --,All,dao+bmo
510864,Private Browsing,normal, --,All,ehsan
513979,Preferences,normal,P2,Mac OS X,smichaud
518970,Session Restore,normal, --,All,ehsan
521141,Installer,major,P2,Windows 7,jmathies
521889,Session Restore,normal, --,All,mak77
541864,Theme,trivial, --,Linux,dao+bmo
571783,Theme,normal, --,Windows 7,dao+bmo
579095,Security,major, --,All,alice0775
585813,Tabbed Browser,normal, --,All,ttaubert
593566,Bookmarks & History,critical, --,All,mak77
601228,Tabbed Browser,normal, --,All,dao+bmo
628458,Developer Tools: Console,normal,P3,All,mihai.sucan
633196,Developer Tools,normal, --,Linux,mihai.sucan
635458,Theme,normal, --,Linux,dao+bmo
682944,General,normal, --,All,alice0775
692400,Developer Tools,normal,P1,All,mihai.sucan
694870,File Handling,normal, --,Linux,alexhenrie24
698371,General,normal,P2,All,jmathies
712868,Developer Tools: Inspector,normal, --,Windows 7,vporof
714509,Extension Compatibility,normal, --,Linux,cyberscorpio
730618,Build Config,normal, --,All,bhearsum
736879,Developer Tools: Source Editor,normal,P3,Windows 7,anton
738967,PDF Viewer,normal,P1,All,ydelendik
750953,General,major, --,All,justin.lebar+bug
751739,Developer Tools: Scratchpad,normal,P3,All,anton
758857,Search,normal, --,All,a9016009
762608,Developer Tools: Console,normal, --,Mac OS X,mihai.sucan
793138,Developer Tools: Inspector,normal, --,All,mratcliffe
806046,General,normal, --,Windows XP,adw
824021,Session Restore,normal, --,All,ttaubert
828780,Private Browsing,normal, --,Mac OS X,ehsan
829360,Private Browsing,normal, --,Mac OS X,josh
842290,Private Browsing,normal, --,Windows 7,josh
845752,Developer Tools,normal, --,Windows 7,scrapmachines
853415,Tabbed Browser,normal, --,Mac OS X,gijskruitbosch+bugs
855811,Developer Tools: Debugger,normal, --,Mac OS X,vporof
866928,Toolbars and Customization,normal, --,All,mdeboer
867992,Developer Tools: Console,normal, --,Windows 8,mihai.sucan
874819,Toolbars and Customization,normal, --,Windows 7,gijskruitbosch+bugs
888967,Preferences,normal, --,All,mrbkap
897163,Preferences,normal, --,Linux,ehsan
901930,Developer Tools: Debugger,normal,P2,Windows 7,past
921850,Developer Tools: WebIDE,normal,P1,Mac OS X,poirot.alex
923940,Developer Tools: Graphic Commandline and Toolbar,normal, --,All,gabrielfrancosouza
924914,General,normal,P2,Windows 8.1,msamuel
